heap_alloc_kb,heap_objects,gc_cycles,sys_kb
191,590,0,6547
200,686,0,6803
216,792,0,6803
228,910,0,6803
239,1024,0,7059
244,1078,0,7059
260,1239,0,7059
268,1320,0,7059
275,1404,0,7059
282,1492,0,7059
292,1595,0,7059
302,1702,0,7059
313,1823,0,7059
320,1892,0,7059
328,1983,0,7059
339,2089,0,7059
345,2172,0,7059
362,2329,0,7059
366,2392,0,7059
371,2455,0,7059
385,2601,0,7059
390,2654,0,7059
397,2738,0,7059
405,2819,0,7059
221,672,1,7379
226,728,1,7379
234,816,1,7379
245,933,1,7379
258,1068,1,7379
266,1135,1,7379
278,1275,1,7379
289,1396,1,7379
295,1462,1,7379
307,1591,1,7379
310,1624,1,7379
326,1790,1,7379
333,1869,1,7379
340,1950,1,7379
350,2054,1,7379
361,2167,1,7379
366,2221,1,7379
381,2388,1,7379
384,2417,1,7379
395,2526,1,7379
407,2655,1,7379
411,2709,1,7379
418,2788,1,7379
439,2981,1,7379
238,757,2,7443
247,860,2,7443
255,941,2,7443
269,1077,2,7443
274,1131,2,7443
285,1242,2,7443
296,1352,2,7443
307,1464,2,7443
312,1520,2,7443
324,1649,2,7443
327,1678,2,7443
344,1872,2,7443
349,1926,2,7443
356,2007,2,7443
366,2112,2,7443
376,2218,2,7443
383,2300,2,7443
395,2432,2,7443
398,2461,2,7443
412,2615,2,7443
419,2694,2,7443
424,2750,2,7443
432,2833,2,7443
450,3016,2,7443
249,812,4,7443
257,900,4,7443
265,982,4,7443
278,1118,4,7443
282,1172,4,7443
295,1304,4,7443
302,1389,4,7443
312,1495,4,7443
319,1574,4,7443
329,1680,4,7443
331,1709,4,7443
348,1892,4,7443
355,1972,4,7443
362,2053,4,7443
370,2132,4,7443
379,2236,4,7443
386,2316,4,7443
399,2453,4,7443
404,2511,4,7443
417,2643,4,7443
426,2728,4,7443
433,2807,4,7443
437,2861,4,7443
455,3044,4,7443
256,847,6,7443
264,933,6,7443
274,1039,6,7443
284,1152,6,7443
289,1208,6,7443
304,1371,6,7443
309,1427,6,7443
322,1564,6,7443
327,1618,6,7443
336,1722,6,7443
341,1776,6,7443
356,1935,6,7443
363,2017,6,7443
371,2105,6,7443
379,2187,6,7443
391,2318,6,7443
396,2372,6,7443
410,2508,6,7443
415,2565,6,7443
428,2698,6,7443
437,2803,6,7443
442,2857,6,7699
449,2936,6,7699
468,3129,6,7699
266,895,7,7699
274,975,7,7699
285,1084,7,7699
295,1189,7,7699
302,1269,7,7699
315,1404,7,7699
320,1458,7,7699
332,1589,7,7699
337,1645,7,7699
350,1779,7,7699
352,1808,7,7699
367,1966,7,7699
378,2085,7,7699
384,2146,7,7699
391,2225,7,7699
407,2385,7,7699
410,2414,7,7699
425,2572,7,7699
427,2601,7,7699
439,2732,7,7699
449,2838,7,7699
454,2894,7,7699
464,2998,7,7699
277,923,8,7699
280,954,8,7699
291,1065,8,7699
300,1152,8,7699
310,1263,8,7699
317,1342,8,7699
331,1477,8,7699
338,1558,8,7699
347,1664,8,7699
355,1746,8,7699
365,1851,8,7699
367,1880,8,7699
384,2069,8,7699
392,2148,8,7699
396,2202,8,7699
406,2306,8,7699
418,2436,8,7699
420,2465,8,7699
437,2621,8,7955
440,2652,8,7955
454,2806,8,7955
461,2886,8,7955
466,2941,8,7955
476,3045,8,7955
492,3205,8,7955
292,998,10,7955
303,1115,10,7955
308,1175,10,7955
321,1308,10,7955
325,1364,10,7955
338,1496,10,7955
345,1575,10,7955
356,1682,10,7955
366,1786,10,7955
373,1868,10,7955
376,1898,10,7955
393,2084,10,7955
400,2163,10,7955
407,2242,10,7955
415,2322,10,7955
426,2451,10,7955
431,2505,10,7955
443,2635,10,7955
448,2689,10,7955
461,2827,10,7955
468,2907,10,7955
475,2986,10,7955
482,3065,10,7955
496,3221,10,7955
300,1039,11,7955
309,1145,11,7955
317,1226,11,7955
326,1332,11,7955
331,1386,11,7955
345,1540,11,7955
350,1597,11,7955
359,1701,11,7955
369,1805,11,7955
376,1884,11,7955
381,1938,11,7955
397,2120,11,7955
402,2174,11,7955
409,2254,11,7955
417,2336,11,7955
431,2492,11,7955
434,2521,11,7955
447,2660,11,7955
454,2739,11,7955
464,2845,11,7955
471,2924,11,7955
478,3005,11,7955
486,3090,11,7955
503,3270,11,7955
302,1039,12,7955
311,1145,12,7955
318,1226,12,7955
328,1332,12,7955
338,1442,12,7955
348,1550,12,7955
353,1604,12,7955
365,1735,12,7955
372,1816,12,7955
380,1898,12,7955
384,1952,12,7955
402,2134,12,7955
410,2214,12,7955
414,2268,12,7955
422,2348,12,7955
437,2503,12,7955
439,2532,12,7955
454,2691,12,7955
458,2745,12,7955
468,2849,12,7955
477,2953,12,7955
484,3032,12,7955
489,3086,12,7955
506,3269,12,7955
306,1063,13,7955
318,1194,13,7955
323,1248,13,7955
334,1361,13,7955
344,1467,13,7955
354,1575,13,7955
361,1654,13,7955
370,1759,13,7955
377,1838,13,7955
387,1942,13,7955
389,1971,13,7955
406,2150,13,7955
413,2229,13,7955
417,2283,13,7955
429,2414,13,7955
440,2526,13,7955
442,2555,13,7955
456,2710,13,7955
461,2764,13,7955
473,2896,13,7955
480,2975,13,7955
487,3056,13,7955
495,3135,13,7955
510,3292,13,7955
310,1087,14,7955
323,1220,14,7955
329,1282,14,7955
342,1418,14,7955
349,1497,14,7955
359,1605,14,7955
366,1687,14,7955
379,1822,14,7955
387,1907,14,7955
394,1988,14,7955
396,2017,14,7955
416,2229,14,7955
421,2283,14,7955
425,2337,14,7955
437,2466,14,7955
447,2574,14,7955
453,2638,14,7955
465,2773,14,7955
471,2829,14,7955
483,2959,14,7955
490,3038,14,7955
499,3144,14,7955
504,3198,14,7955
520,3363,14,7955
324,1201,15,7955
332,1284,15,7955
337,1343,15,7955
351,1493,15,7955
359,1574,15,7955
373,1710,15,7955
378,1765,15,7955
391,1897,15,7955
398,1979,15,7955
405,2061,15,7955
410,2115,15,7955
432,2301,15,7955
437,2355,15,7955
444,2434,15,7955
453,2538,15,7955
463,2644,15,7955
468,2698,15,7955
482,2855,15,7955
487,2909,15,7955
497,3014,15,7955
504,3093,15,7955
513,3197,15,7955
518,3251,15,7955
535,3432,15,7955
335,1226,16,7955
343,1310,16,7955
350,1391,16,7955
360,1497,16,7955
367,1576,16,7955
379,1706,16,7955
384,1760,16,7955
398,1916,16,7955
403,1972,16,7955
410,2051,16,7955
417,2130,16,7955
431,2286,16,7955
439,2365,16,7955
443,2419,16,7955
453,2523,16,7955
465,2652,16,7955
467,2681,16,7955
481,2835,16,7955
486,2889,16,7955
495,2993,16,7955
505,3097,16,7955
512,3176,16,7955
517,3230,16,7955
533,3412,16,7955
336,1171,17,7955
345,1279,17,7955
350,1335,17,7955
362,1466,17,7955
369,1547,17,7955
379,1656,17,7955
384,1712,17,7955
399,1871,17,7955
403,1925,17,7955
413,2029,17,7955
418,2083,17,7955
432,2241,17,7955

